family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,12,0.00,0.00,ea306fb5
system,mod_plane_2x_center,61261,63396,6.38,6.60,61d42d20
system,synth_1_voice,55576,56570,5.78,5.89,42bccc87
system,synth_2_voices,96015,97587,10.00,10.16,d8de180d
system,synth_4_voices,171615,174161,17.87,18.14,e9a1c12b
system,synth_2x4,340352,346091,35.45,36.05,7f3f6d8d
system,wave_2x4,308662,312534,32.15,32.55,9f319bcf
system,fx_none,24517,24565,2.55,2.55,b538ce01
system,fx_grit,45683,45771,4.75,4.76,74f9b9f5
system,fx_flux_sdram,65770,67329,6.85,7.01,9ca91007
system,fx_comp,31562,31677,3.28,3.29,47a4392b
system,oliverb_solo_sram,90040,90917,9.37,9.47,f09fa14e
system,instrument_init,585087,690976,60.94,71.97,ef6fec21
system,instrument_worst,885207,941187,92.20,98.04,50ed0b6a
system,instrument_worst_taps,963058,1027434,100.31,107.02,d151005b
voice,morph_osc_bare,8139,8448,0.84,0.88,283a1d87
voice,modal_voice,360941,361779,37.59,37.68,86f76dcb
voice,string_voice,110544,118374,11.51,12.33,183dcd0b
voice,resonator,328816,329369,34.25,34.30,ca6f6722
voice,formant_osc,17422,17721,1.81,1.84,5a1e5767
voice,vosim_osc,54958,55355,5.72,5.76,4f6c0bbb
voice,harmonic_osc,28566,29097,2.97,3.03,4deccc28
voice,grainlet_osc,38256,39047,3.98,4.06,e6405e79
voice,z_osc,59091,59748,6.15,6.22,8fd0220b
voice,variable_shape_osc,11103,11708,1.15,1.21,31359d21
mem,grain_read_sram,29402,29914,3.06,3.11,de55bd08
mem,grain_read_sdram,154371,163481,16.08,17.02,de55bd08
mem,oliverb_sdram,116671,128219,12.15,13.35,f09fa14e
mem,echo_walk_sram,1501,1682,0.15,0.17,eef5bd05
mem,echo_walk_sdram,4956,8616,0.51,0.89,eef5bd05
mod,lane_flow_shape00,25193,25582,2.62,2.66,c658da9d
mod,lane_flow_shape03,20394,20658,2.12,2.15,b48a421e
mod,lane_flow_shape07,19722,19991,2.05,2.08,90b8af63
mod,lane_flow_shape10,18473,18780,1.92,1.95,e4a20384
mod,lane_step_shape00,28040,29050,2.92,3.02,8291294e
mod,super_mod_5lanes,30150,30812,3.14,3.20,87972e50
mod,center_tick,4822,4904,0.50,0.51,295f48c7
abl,micro_sinf,11219,11299,1.16,1.17,bc112759
abl,micro_tanhf,19946,20023,2.07,2.08,a14ff2c5
abl,micro_powf,18927,18975,1.97,1.97,ff3de3b5
abl,micro_fast_sin,6177,6219,0.64,0.64,63cddd75
abl,part_glue_flow,102812,106446,10.70,11.08,ea306fb5
abl,inst_worst_noflux,771175,802307,80.33,83.57,0d774444
abl,inst_worst_noreverb,777072,830791,80.94,86.54,3cb7b58a
abl,inst_worst_nogrit,845181,901783,88.03,93.93,91a561c6
abl,inst_worst_choked,870777,943375,90.70,98.26,61923b07
abl,limiter_clean,7621,7659,0.79,0.79,c71498e1
abl,limiter_driven,22310,22361,2.32,2.32,17e01bb9
abl,echo_short_sram,10215,10425,1.06,1.08,9806cc26
abl,echo_short_sdram,12047,12772,1.25,1.33,9806cc26
abl,grit_drive_solo,14644,14696,1.52,1.53,f57bd5c9
abl,grit_reduce_solo,26496,26911,2.76,2.80,5ef36dbb
taps,taps_2_opt,33654,34284,3.50,3.57,98f63683
taps,tap_read_sdram,20599,23035,2.14,2.39,e8b16665
sampler,sampler_flow_typ,100146,133794,10.43,13.93,e79174a5
sampler,sampler_flow_worst,169514,202725,17.65,21.11,b2c70b9f
sampler,sampler_overdub_worst,202674,239427,21.11,24.94,ddc194f4
sampler,sampler_scan_ctrl,171832,207444,17.89,21.60,39cea446
sampler,sampler_win_sram,139525,165097,14.53,17.19,93086589
sampler,sampler_win_sdram,163398,198618,17.02,20.68,93086589
sampler,inst_sampler_worst,847195,1049922,88.24,109.36,d11314f0
sampler,sampler_worst_slowspawn,167912,213665,17.49,22.25,f0b3352f
sampler,inst_sampler_nomotion,837176,985669,87.20,102.67,21e4b467
sampler,inst_sampler_slowspawn,768628,1282936,80.06,133.63,fcacb820
sampler,inst_sampler_noflux,724780,859326,75.49,89.51,6365b712
sampler,inst_sampler_noreverb,726565,875159,75.68,91.16,45297ddc
sampler,inst_sampler_onepart,872872,962788,90.92,100.29,1e3311cd
sampler,sampler_worst_nomotion,140854,143144,14.67,14.91,15e0b1a5
