run,profile,qspi_sha256,device_fingerprint,family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,empty_callback,2,13,0.00,0.00,ea306fb5
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,mod_plane_2x_center,68510,70838,7.13,7.37,61d42d20
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,synth_1_voice,53590,54496,5.58,5.67,1816acc1
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,synth_2_voices,93661,95444,9.75,9.94,4dc805b7
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,synth_4_voices,169241,171605,17.62,17.87,2292dae2
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,synth_2x4,339342,344411,35.34,35.87,0d15b5eb
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,wave_2x4,309712,314095,32.26,32.71,6f28f4ea
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,fx_none,24605,24642,2.56,2.56,b538ce01
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,fx_grit,45818,45854,4.77,4.77,74f9b9f5
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,fx_flux_sdram,65367,68336,6.80,7.11,9ca91007
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,fx_comp,31811,32327,3.31,3.36,47a4392b
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,oliverb_solo_sram,89940,90891,9.36,9.46,f09fa14e
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,instrument_init,580800,685346,60.50,71.39,2b52554a
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,instrument_worst,875649,930248,91.21,96.90,5e5b421a
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,instrument_worst_taps,928965,977851,96.76,101.85,f1295ac0
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,body,mode_bank_24,86761,86817,9.03,9.04,08a33421
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,body,mode_bank_24_static,81688,81721,8.50,8.51,5e5c7fa9
1,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,body,ks_string_pair,196556,197427,20.47,20.56,35fa00d0
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,empty_callback,2,13,0.00,0.00,ea306fb5
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,mod_plane_2x_center,68326,70510,7.11,7.34,61d42d20
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,synth_1_voice,53592,54472,5.58,5.67,1816acc1
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,synth_2_voices,93663,95381,9.75,9.93,4dc805b7
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,synth_4_voices,169243,171645,17.62,17.87,2292dae2
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,synth_2x4,339342,344403,35.34,35.87,0d15b5eb
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,wave_2x4,309804,314249,32.27,32.73,6f28f4ea
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,fx_none,24519,24556,2.55,2.55,b538ce01
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,fx_grit,45818,45854,4.77,4.77,74f9b9f5
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,fx_flux_sdram,65335,67489,6.80,7.03,9ca91007
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,fx_comp,31818,32032,3.31,3.33,47a4392b
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,oliverb_solo_sram,89934,90952,9.36,9.47,f09fa14e
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,instrument_init,580795,685670,60.49,71.42,2b52554a
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,instrument_worst,875732,930301,91.22,96.90,5e5b421a
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,instrument_worst_taps,928791,979429,96.74,102.02,f1295ac0
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,body,mode_bank_24,86762,86817,9.03,9.04,08a33421
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,body,mode_bank_24_static,81688,81721,8.50,8.51,5e5c7fa9
2,body,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,body,ks_string_pair,196527,197405,20.47,20.56,35fa00d0
