case,row,kind,victim_group,victim_ch,r_src,word_a,word_b,d_ns,n,mean,min,max,delta
0,1,0,0,8,5150,40,40,0,64,32488,31650,32533,
0,1,0,0,8,5150,40,40,200,64,32501,32473,32523,
0,1,0,0,8,5150,40,40,400,64,32501,32472,32528,
0,1,0,0,8,5150,40,40,600,64,32502,32479,32527,
0,1,0,0,8,5150,40,40,800,64,32501,32473,32525,
0,1,0,0,8,5150,40,40,1000,64,32502,32471,32528,
0,1,0,0,8,5150,40,40,1200,64,32502,32474,32524,
0,1,0,0,8,5150,40,40,1400,64,32501,32467,32534,
0,1,0,0,8,5150,40,40,1600,64,32500,32464,32519,
0,1,0,0,8,5150,40,40,1800,64,32502,32463,32529,
0,1,0,0,8,5150,40,40,2000,64,32501,32471,32532,
0,1,0,0,8,5150,40,40,2200,64,32500,32468,32529,
0,1,0,0,8,5150,40,40,2400,64,32502,32471,32536,
0,1,0,0,8,5150,40,40,2600,64,32502,32468,32529,
0,1,0,0,8,5150,40,40,2800,64,32503,32473,32526,
0,1,0,0,8,5150,40,40,3000,64,32502,32480,32522,
0,1,0,0,8,5150,40,40,3200,64,32501,32469,32520,
0,1,0,0,8,5150,40,40,3400,64,32501,32471,32527,
0,1,0,0,8,5150,40,40,3600,64,32502,32470,32530,
0,1,0,0,8,5150,40,40,3800,64,32502,32475,32524,
0,1,0,0,8,5150,40,40,4000,64,32502,32469,32523,
0,1,0,0,8,5150,40,40,4200,64,32502,32473,32532,
0,1,0,0,8,5150,40,40,4400,64,32500,32477,32528,
0,1,0,0,8,5150,40,40,4600,64,32503,32468,32521,
0,1,0,0,8,5150,40,40,4800,64,32501,32469,32524,
0,1,0,0,8,5150,40,40,5000,64,32500,32470,32521,
0,1,0,0,8,5150,40,40,5200,64,32502,32479,32523,
0,1,0,0,8,5150,40,40,5400,64,32502,32481,32525,
0,1,0,0,8,5150,40,40,5600,64,32501,32476,32525,
0,1,0,0,8,5150,40,40,5800,64,32501,32468,32522,
0,1,0,0,8,5150,40,40,6000,64,32501,32475,32530,
0,1,0,0,8,5150,40,40,6200,64,32499,32471,32524,
0,1,0,0,8,5150,40,40,6400,64,32500,32473,32532,
0,1,0,0,8,5150,40,40,6600,64,32500,32473,32526,
0,1,0,0,8,5150,40,40,6800,64,32503,32473,32532,
0,1,0,0,8,5150,40,40,7000,64,32498,32463,32518,
0,1,0,0,8,5150,40,40,7200,64,32499,32464,32534,
0,1,0,0,8,5150,40,40,7400,64,32502,32468,32538,
0,1,0,0,8,5150,40,40,7600,64,32502,32471,32524,
0,1,0,0,8,5150,40,40,7800,64,32500,32450,32528,
0,1,0,0,8,5150,40,40,8000,64,32500,32475,32523,
0,1,0,0,8,5150,40,40,8200,64,32499,32437,32520,
0,1,0,0,8,5150,40,40,8400,64,32500,32472,32528,
0,1,0,0,8,5150,40,40,8600,64,32500,32467,32521,
0,1,0,0,8,5150,40,40,8800,64,32501,32470,32521,
0,1,0,0,8,5150,40,40,9000,64,32498,32469,32519,
0,1,0,0,8,5150,40,40,9200,64,32498,32468,32516,
0,1,0,0,8,5150,40,40,9400,64,32497,32472,32519,
0,1,0,0,8,5150,40,40,9600,64,32498,32369,32520,
0,1,0,0,8,5150,40,40,9800,64,32500,32479,32524,
0,1,0,0,8,5150,40,40,10000,64,32501,32470,32522,
0,1,0,0,8,5150,40,40,10200,64,32497,32471,32522,
0,1,0,0,8,5150,40,40,10400,64,32501,32477,32532,
0,1,0,0,8,5150,40,40,10600,64,32499,32460,32523,
0,1,0,0,8,5150,40,40,10800,64,32498,32469,32520,
0,1,0,0,8,5150,40,40,11000,64,32500,32472,32520,
0,1,0,0,8,5150,40,40,11200,64,32497,32466,32517,
0,1,0,0,8,5150,40,40,11400,64,32502,32476,32523,
0,1,0,0,8,5150,40,40,11600,64,32501,32477,32520,
0,1,0,0,8,5150,40,40,11800,64,32499,32467,32518,
0,1,0,0,8,5150,40,40,12000,64,32499,32464,32523,
0,1,0,0,8,5150,40,40,12200,64,32496,32358,32515,
0,1,0,0,8,5150,40,40,12400,64,32499,32472,32530,
0,1,0,0,8,5150,40,40,12600,64,32500,32471,32521,
0,1,0,0,8,5150,40,40,12800,64,32500,32474,32521,
1,1,0,1,6,5150,22,22,0,64,32574,31926,32601,
1,1,0,1,6,5150,22,22,200,64,32585,32569,32608,
1,1,0,1,6,5150,22,22,400,64,32584,32568,32602,
1,1,0,1,6,5150,22,22,600,64,32588,32573,32601,
1,1,0,1,6,5150,22,22,800,64,32587,32567,32604,
1,1,0,1,6,5150,22,22,1000,64,32587,32571,32603,
1,1,0,1,6,5150,22,22,1200,64,32584,32571,32602,
1,1,0,1,6,5150,22,22,1400,64,32586,32558,32607,
1,1,0,1,6,5150,22,22,1600,64,32585,32570,32597,
1,1,0,1,6,5150,22,22,1800,64,32585,32567,32610,
1,1,0,1,6,5150,22,22,2000,64,32587,32570,32606,
1,1,0,1,6,5150,22,22,2200,64,32586,32566,32603,
