scope,case,key,value
cfg,,adc_khz,6146
cfg,,repeats,64
cfg,,grid_ns,200
cfg,,points,65
cfg,,park_ns,20000
cfg,,scan_settle_ns,2000000
cfg,,rv4,0
cfg,,git,80e94db+
rate,,block_size,96
rate,,sr_hz,48000
rate,,cases,58
rate,,victims,5
clk,,span_short_cyc,2312
clk,,span_long_cyc,31286
clk,,smp_short_tenths,165
clk,,smp_long_tenths,3875
cal,,lat_mean_ns,699
cal,,lat_min_ns,640
cal,,lat_max_ns,706
cal,,b0,7
cal,,timeouts,0
span,,zero,0
span,,rail,65532
span,,hi_spread,0
span,,lo_spread,0
span,,lost,0
span,,n_min,64
span,,valid,1
span,,span_format,task7-exclusion
gates,,g2,1
gates,,g4,1
gates,,g5,1
gates,,g6,0
gates,,init_ok,1
gates,,cal_ok,1
gates,,cfg_ok,1
gates,,gates_ok,0
g5,0,victim_group,0
g5,0,victim_ch,8
g5,0,expect,2
g5,0,mean,32500
g5,0,ok,1
g5,1,victim_group,1
g5,1,victim_ch,6
g5,1,expect,2
g5,1,mean,32583
g5,1,ok,1
g5,2,victim_group,0
g5,2,victim_ch,9
g5,2,expect,2
g5,2,mean,32756
g5,2,ok,1
g5,3,victim_group,0
g5,3,victim_ch,10
g5,3,expect,0
g5,3,mean,0
g5,3,ok,1
g5,4,victim_group,1
g5,4,victim_ch,3
g5,4,expect,0
g5,4,mean,0
g5,4,ok,1
g6,0,victim_group,0
g6,0,victim_ch,8
g6,0,r_src,5150
g6,0,expect,2
g6,0,silent_case,0
g6,0,control_case,5
g6,0,points_compared,65
g6,0,min_points_required,33
g6,0,fw_pairs,65
g6,0,fw_worst,10
g6,0,fw_compared,1
g6,0,fw_pairs_agree,1
g6,0,worst_control_delta,10
g6,0,worst_d_ns,2800
g6,0,within_bound,0
g6,0,agrees_with_g6,1
g6,1,victim_group,1
g6,1,victim_ch,6
g6,1,r_src,5150
g6,1,expect,2
g6,1,silent_case,1
g6,1,control_case,6
g6,1,points_compared,65
g6,1,min_points_required,33
g6,1,fw_pairs,65
g6,1,fw_worst,12
g6,1,fw_compared,1
g6,1,fw_pairs_agree,1
g6,1,worst_control_delta,12
g6,1,worst_d_ns,2600
g6,1,within_bound,0
g6,1,agrees_with_g6,1
g6,2,victim_group,0
g6,2,victim_ch,9
g6,2,r_src,650
g6,2,expect,2
g6,2,silent_case,2
g6,2,control_case,7
g6,2,points_compared,65
g6,2,min_points_required,33
g6,2,fw_pairs,65
g6,2,fw_worst,10
g6,2,fw_compared,1
g6,2,fw_pairs_agree,1
g6,2,worst_control_delta,10
g6,2,worst_d_ns,1400
g6,2,within_bound,0
g6,2,agrees_with_g6,1
g6,3,victim_group,0
g6,3,victim_ch,10
g6,3,r_src,150
g6,3,expect,0
g6,3,silent_case,3
g6,3,control_case,8
g6,3,points_compared,65
g6,3,min_points_required,33
g6,3,fw_pairs,65
g6,3,fw_worst,1
g6,3,fw_compared,1
g6,3,fw_pairs_agree,1
g6,3,worst_control_delta,1
g6,3,worst_d_ns,3200
g6,3,within_bound,1
g6,3,agrees_with_g6,1
g6,4,victim_group,1
g6,4,victim_ch,3
g6,4,r_src,150
g6,4,expect,0
g6,4,silent_case,4
g6,4,control_case,9
g6,4,points_compared,65
g6,4,min_points_required,33
g6,4,fw_pairs,65
g6,4,fw_worst,0
g6,4,fw_compared,1
g6,4,fw_pairs_agree,1
g6,4,worst_control_delta,0
g6,4,worst_d_ns,0
g6,4,within_bound,1
g6,4,agrees_with_g6,1
case,0,row,1
case,0,kind,0
case,0,victim_group,0
case,0,victim_ch,8
case,0,r_src,5150
case,0,word_a,40
case,0,word_b,40
case,0,skipped,0
case,1,row,1
case,1,kind,0
case,1,victim_group,1
case,1,victim_ch,6
case,1,r_src,5150
case,1,word_a,22
case,1,word_b,22
case,1,skipped,0
case,2,row,1
case,2,kind,0
case,2,victim_group,0
case,2,victim_ch,9
case,2,r_src,650
case,2,word_a,41
case,2,word_b,41
case,2,skipped,0
case,3,row,1
case,3,kind,0
case,3,victim_group,0
case,3,victim_ch,10
case,3,r_src,150
case,3,word_a,42
case,3,word_b,42
case,3,skipped,0
case,4,row,1
case,4,kind,0
case,4,victim_group,1
case,4,victim_ch,3
case,4,r_src,150
case,4,word_a,19
case,4,word_b,19
case,4,skipped,0
case,5,row,2
case,5,kind,1
case,5,victim_group,0
case,5,victim_ch,8
case,5,r_src,5150
case,5,word_a,40
case,5,word_b,40
case,5,skipped,0
case,6,row,2
case,6,kind,1
